,id,tdate,tname,ttext,ttype,trep,trtv,tfav,tstcount,tfol,tfrien,listcount,tokenized,rates,features
0,408906692374446080,1386325927,pleease_shut_up,"@first_timee хоть я и школота, но поверь, у нас то же самое :D общество профилирующий предмет типа)",1,0,0,0,7569,62,61,0,"['first_timee', 'школотый', 'поверь', 'самый', 'd', 'общество', 'профилировать', 'предмет', 'тип']","['0,333333333333333', '0', '0', '0']","[0.08333333333333325, 0.333333333333333, 0.0, 0.333333333333333, 1, 0]"
1,408906692693221377,1386325927,alinakirpicheva,"Да, все-таки он немного похож на него. Но мой мальчик все равно лучше:D",1,0,0,0,11825,59,31,2,"['всё', 'таки', 'немного', 'похожий', 'мальчик', 'всё', 'равно', 'хороший', 'd']","['0', '1']","[0.5, 1.0, 0.0, 1.0, 1, 0]"
2,408906695083954177,1386325927,EvgeshaRe,RT @KatiaCheh: Ну ты идиотка) я испугалась за тебя!!!,1,0,1,0,1273,26,27,0,"['rt', 'katiacheh', 'идиотка', 'испугаться']","['-0,833333333333333']","[-0.833333333333333, -0.833333333333333, -0.833333333333333, -0.833333333333333, 0, 1]"
3,408906695356973056,1386325927,ikonnikova_21,"RT @digger2912: ""Кто то в углу сидит и погибает от голода, а мы ещё 2 порции взяли, хотя уже и так жрать не хотим"" :DD http://t.co/GqG6iuE2…",1,0,1,0,1549,19,17,0,"['rt', 'digger2912', 'угол', 'сидеть', 'погибать', 'голод', 'ещё', '2', 'порция', 'взять', 'хотя', 'жрать', 'хотеть', 'dd', 'http', 't', 'co', 'gqg6iue2']","['-0,2', '-1,33333333333333', '0']","[-0.51111111111111, 0.0, -1.33333333333333, -1.5333333333333299, 0, 2]"
4,408906761416867842,1386325943,JumpyAlex,"@irina_dyshkant Вот что значит страшилка :D
Но блин,посмотрев все части,у тебя создастся ощущение,что авторы курили что-то :D",1,0,0,0,597,16,23,1,"['irina_dyshkant', 'значит', 'страшилка', 'd', 'блин', 'посмотреть', 'всё', 'часть', 'создаться', 'ощущение', 'автор', 'курить', 'd']","['0,333333333333333', '0']","[0.1666666666666665, 0.333333333333333, 0.0, 0.333333333333333, 1, 0]"
5,408906761769598976,1386325943,JustinB94262583,ну любишь или нет? — Я не знаю кто ты бля:D http://t.co/brf9eNg1U6,1,0,0,0,40,6,16,0,"['любить', 'знать', 'бля', 'd', 'http', 't', 'co', 'brf9eng1u6']",[0],"[0.0, 0.0, 0.0, 0.0, 0, 0]"
6,408906762436481024,1386325943,twinkleAYO,"RT @SpoonLamer: Ох,900 :D ну это конечно же @twinkleAYO . Чтобы у нее было много друзей, ведь она такая мимими &lt;3",1,0,1,0,5169,58,43,2,"['rt', 'spoonlamer', 'ох', '900', 'd', 'это', 'twinkleayo', 'друг', 'мимими', 'lt', '3']","['0,333333333333333']","[0.333333333333333, 0.333333333333333, 0.333333333333333, 0.333333333333333, 1, 0]"
7,408906764114206720,1386325944,pycalyruhog,RT @veregijytaqo: У тебя есть ухажёр? Нет - мои уши не кто не жрёт :D,1,0,2,0,393,112,153,0,"['rt', 'veregijytaqo', 'ухажёр', 'ухо', 'жрать', 'd']",[0],"[0.0, 0.0, 0.0, 0.0, 0, 0]"
8,408906764608749568,1386325944,grishintv,Поприветствуем моего нового читателя @Alexey1789 ;),1,0,0,0,5872,1387,1431,12,"['поприветствовать', 'новый', 'читатель', 'alexey1789']",[0],"[0.0, 0.0, 0.0, 0.0, 0, 0]"
9,408906765841870848,1386325944,alina_612,Теперь у меня есть частичка Сиднея :) #Sydney #SydneyOperaHouse http://t.co/agnto3CZEi,1,0,0,0,263,5,36,0,"['частичка', 'сидней', 'sydney', 'sydneyoperahouse', 'http', 't', 'co', 'agnto3czei']",[0],"[0.0, 0.0, 0.0, 0.0, 0, 0]"
